N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
5,5,lop3,0.99,3,0,0,0,2.26194671058465,3.45575191894877
5,1,lop3,0.99,3,0,0,0,1.94778744522567,3.51858377202057
5,2,lop3,0.99,3,0,0,0,2.13628300444106,3.51858377202057
5,3,lop3,0.99,3,0,0,0,2.01061929829747,3.39292006587698
5,4,lop3,0.99,3,0,0,0,2.13628300444106,3.58141562509236
5,5,lop3,0.99,3,0,0,0,1.94778744522567,3.45575191894877
6,1,lop3,0.99,3,0,0,0,1.82212373908208,3.39292006587698
6,2,lop3,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,3,lop3,0.99,3,0,0,0,2.13628300444106,3.33008821280518
6,4,lop3,0.99,3,0,0,0,1.88495559215388,3.51858377202057
6,5,lop3,0.99,3,0,0,0,2.13628300444106,3.39292006587698
6,6,lop3,0.99,3,0,0,0,2.07345115136926,3.45575191894877
6,1,lop3,0.99,3,0,0,0,2.01061929829747,3.58141562509236
6,2,lop3,0.99,3,0,0,0,2.19911485751286,3.51858377202057
6,3,lop3,0.99,3,0,0,0,2.32477856365645,3.39292006587698
6,4,lop3,0.99,3,0,0,0,2.26194671058465,3.39292006587698
6,5,lop3,0.99,3,0,0,0,2.26194671058465,3.51858377202057
6,6,lop3,0.99,3,0,0,0,2.07345115136926,3.51858377202057
6,1,lop3,0.99,3,0,0,0,2.01061929829747,3.51858377202057
6,2,lop3,0.99,3,0,0,0,2.01061929829747,3.58141562509236
6,3,lop3,0.99,3,0,0,0,2.32477856365645,3.45575191894877
6,4,lop3,0.99,3,0,0,0,1.88495559215388,3.45575191894877
6,5,lop3,0.99,3,0,0,0,2.26194671058465,3.39292006587698
6,6,lop3,0.99,3,0,0,0,2.01061929829747,3.51858377202057
6,1,far3,0.99,3,0,0,0,2.45044226980004,3.45575191894877
6,2,far3,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,3,far3,0.99,3,0,0,0,2.38761041672824,3.39292006587698
6,4,far3,0.99,3,0,0,0,2.26194671058465,3.20442450666159
6,5,far3,0.99,3,0,0,0,2.57610597594363,3.45575191894877
6,6,far3,0.99,3,0,0,0,2.45044226980004,3.45575191894877
6,1,far3,0.99,3,0,0,0,2.13628300444106,3.45575191894877
6,2,far3,0.99,3,0,0,0,2.32477856365645,3.45575191894877
6,3,far3,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,4,far3,0.99,3,0,0,0,2.38761041672824,3.33008821280518
6,5,far3,0.99,3,0,0,0,2.07345115136926,3.39292006587698
6,6,far3,0.99,3,0,0,0,2.38761041672824,3.45575191894877
6,1,far3,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,2,far3,0.99,3,0,0,0,2.26194671058465,3.39292006587698
6,3,far3,0.99,3,0,0,0,2.01061929829747,3.45575191894877
6,4,far3,0.99,3,0,0,0,2.13628300444106,3.51858377202057
6,5,far3,0.99,3,0,0,0,2.13628300444106,3.39292006587698
6,6,far3,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,1,near2far1,0.99,3,0,0,0,2.13628300444106,3.45575191894877
6,2,near2far1,0.99,3,0,0,0,2.45044226980004,3.51858377202057
6,3,near2far1,0.99,3,0,0,0,2.57610597594363,3.51858377202057
6,4,near2far1,0.99,3,0,0,0,2.26194671058465,3.39292006587698
6,5,near2far1,0.99,3,0,0,0,2.19911485751286,3.33008821280518
6,6,near2far1,0.99,3,0,0,0,2.26194671058465,3.33008821280518
6,1,near2far1,0.99,3,0,0,0,2.26194671058465,3.45575191894877
6,2,near2far1,0.99,3,0,0,0,2.32477856365645,3.51858377202057
6,3,near2far1,0.99,3,0,0,0,2.26194671058465,3.39292006587698
6,4,near2far1,0.99,3,0,0,0,2.19911485751286,3.39292006587698
6,5,near2far1,0.99,3,0,0,0,2.38761041672824,3.51858377202057
6,6,near2far1,0.99,3,0,0,0,2.26194671058465,3.45575191894877
6,1,near2far1,0.99,3,0,0,0,2.01061929829747,3.45575191894877
6,2,near2far1,0.99,3,0,0,0,2.38761041672824,3.51858377202057
6,3,near2far1,0.99,3,0,0,0,2.32477856365645,3.45575191894877
6,4,near2far1,0.99,3,0,0,0,2.26194671058465,3.45575191894877
6,5,near2far1,0.99,3,0,0,0,2.13628300444106,3.39292006587698
6,6,near2far1,0.99,3,0,0,0,2.26194671058465,3.45575191894877
6,1,near4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
6,2,near4,0.99,4,0,0,0,1.82212373908208,3.58141562509236
6,3,near4,0.99,4,0,0,0,1.82212373908208,3.58141562509236
6,4,near4,0.99,4,0,0,0,1.88495559215388,3.64424747816416
6,5,near4,0.99,4,0,0,0,1.82212373908208,3.70707933123596
6,6,near4,0.99,4,0,0,0,1.5079644737231,3.70707933123596
6,1,near4,0.99,4,0,0,0,1.63362817986669,3.83274303737955
6,2,near4,0.99,4,0,0,0,1.82212373908208,3.45575191894877
6,3,near4,0.99,4,0,0,0,1.94778744522567,3.64424747816416
6,4,near4,0.99,4,0,0,0,1.82212373908208,3.76991118430775
6,5,near4,0.99,4,0,0,0,1.75929188601028,3.64424747816416
6,6,near4,0.99,4,0,0,0,1.88495559215388,3.64424747816416
6,1,near4,0.99,4,0,0,0,1.88495559215388,3.64424747816416
